Gene	Cluster	F_value	P.anova	P.kruskal	Shaprio_wilks	adj.P
GSK3B	11	2.62649000012382	0.0105822182261561	0.0571988458148489	0.00313831125653748	0.0289556957210856
HCRTR2	12	2.31214753311462	0.0208445036525764	0.103092931927997	0.0125914191147618	0.0363507807599808
HDAC1	8	2.21057906036142	0.0471721394847506	0.111996094002913	0.291739895066825	0.0581518616062011
HDAC2	10	1.84267299337001	0.0805108328292534	0.144398158639825	0.0791158182212321	0.0913734055125653
HDAC3	6	3.08039088420688	0.0168235952023494	0.0910238248989983	0.257044877088941	0.0329558097799448
HEBP1	7	3.40009391946701	0.00652705044546375	0.0591145653255339	0.0960721291646459	0.0252512865423287
HNRNPD	9	1.35091989454042	0.237508448970407	0.276939721305224	0.0446127019722973	0.244343224480347
HNRNPU	10	3.66588528232843	0.00123531747971841	0.0415127094216489	0.00494286623933256	0.021421189710993
HTR7	12	1.91008134100292	0.0583138957842823	0.151223733366796	0.0156783538120139	0.0683515335832161
ID2	5	3.86486866974269	0.00723403440100982	0.039785506653939	0.0691450233208483	0.0252512865423287
ID3	11	3.28867589113142	0.00224657234779703	0.0584489957769629	0.0152036954225564	0.0252512865423287
ID4	12	2.89633787693143	0.00654438131193519	0.0692979273129159	0.000782798281234054	0.0252512865423287
KCNA2	9	2.85289167790144	0.0104731655881306	0.0821371342270107	0.0183717890688357	0.0289556957210856
KCNH7	12	2.43431289018913	0.0147458095047408	0.0638824940681062	0.00140010897346411	0.030763212444285
KDM5A	12	2.34659087313516	0.0185568452965145	0.106086558611539	0.0121558157492782	0.0338814578823549
KLF10	11	2.30453589678328	0.0247782737783948	0.10888245193775	0.00805803325610307	0.0400926905505841
KLF9	11	2.07456308371342	0.0432931523497218	0.107466898183878	0.071681882518054	0.0538340937913932
LEP	2	5.62062187736949	0.0214915782978238	0.0371249116532711	0.278072113963758	0.0370276589950459
LGR4	12	2.14234190851476	0.0316025802242698	0.136390202283933	0.0429446908104728	0.0431884030812896
MAGEL2	4	5.60952957825852	0.00245252093103468	0.00799869067279047	0.417664559128752	0.0252512865423287
MAPK10	12	2.24967061294557	0.0239049837420541	0.0767793121942171	0.0076107909561209	0.0392920997139511
MAPK8	9	2.10018649813045	0.049951926656881	0.119777656148152	0.0782562942971113	0.0607753127983986
MAPK9	5	2.34133170545662	0.0651018399642398	0.0562021846644965	0.401544544935559	0.0750771218942442
MC3R	5	3.38262306623653	0.0157247240285072	0.06773712718049	0.271913037851705	0.0312310491121741
METTL3	11	2.27965215590087	0.026647153478111	0.106863881814189	0.0104821970740109	0.0401109783933671
MTA1	4	3.31906643511959	0.0260742672811491	0.0347330968225546	0.272327233209495	0.0400926905505841
MTNR1A	6	3.88703504582274	0.00448350249053595	0.041005544806744	0.230099839989849	0.0252512865423287
MTNR1B	2	7.61378131634625	0.00812279147515467	0.0226547000253943	0.799529659594596	0.0252512865423287
MTTP	12	2.34909005590477	0.0186848348307496	0.0712918066807654	0.00261575796216572	0.0338814578823549
MYBBP1A	8	2.81539313550581	0.0138547326506147	0.104841805814283	0.030673628461016	0.030763212444285
NFIL3	12	1.72624368557914	0.0965751703249308	0.108256074545705	0.0078882705511098	0.104623101185342
NGFR	8	3.09241649790156	0.00803479189874953	0.07173142346883	0.0269894843518921	0.0252512865423287
NKX2-1	11	3.79517586377992	0.000781141540146213	0.0253901309933184	0.000714515668487097	0.021421189710993
NLGN1	8	2.3905171937092	0.0317117645002476	0.0927399835480764	0.176603373543291	0.0431884030812896
NOCT	7	1.30805508904383	0.267565868382825	0.245974550112309	0.142538987061587	0.273299422705314
NOS2	8	3.19290986652196	0.00628456002917174	0.0790177243224217	0.0421278178984787	0.0252512865423287
NPAS2	11	4.5273250534656	0.000130033868124022	0.011932376860468	0.0137762753523613	0.0185948431417351
NPS	5	5.2268638900694	0.00134818676502753	0.0236372317352436	0.1138142558572	0.021421189710993
NPSR1	8	3.50491840493526	0.00352799836705166	0.0681307611277724	0.0530408067203096	0.0252512865423287
NR1D1	11	2.37197490543232	0.0204884655009531	0.0948159596613321	0.0196055927428348	0.0361709946498308
NR1D2	11	2.77285889951303	0.00773259103587593	0.0706083636729899	0.0148837619591885	0.0252512865423287
NR1H3	6	3.07973743947016	0.0151254969276505	0.0619770077003752	0.262897598636351	0.030763212444285
NR2F6	9	2.94607127819315	0.00904448265090003	0.0404959443582666	0.0617927298967632	0.0263951228383409
NR3C1	10	2.61735762697771	0.0132218336905466	0.0942814171569673	0.0128266163585214	0.0304955196410994
NRIP1	9	1.84858687787409	0.0914644188713337	0.181445135886659	0.122265703705947	0.0998428389206161
NTRK1	12	3.5403780850566	0.000911688867270943	0.0142925383066681	0.00222718261926177	0.021421189710993
OGT	10	2.6674940505948	0.011747867403509	0.0917180790121834	0.017683528918824	0.0294626963754536
OPN3	6	4.29311259683759	0.00256650353835214	0.0280229067597956	0.203172546484747	0.0252512865423287
OPN4	12	2.8394038379104	0.00568181976043638	0.0456272445874218	0.00184105107402218	0.0252512865423287
OPN5	8	3.06309382026147	0.00807770862303789	0.0547347304875639	0.0886863911679802	0.0252512865423287
PARP1	7	2.52543263990557	0.030033894087911	0.0559790705274433	0.25638733811299	0.041697542277391
PAX4	7	2.49346012975607	0.034824482989495	0.17676186686587	0.0622683091148246	0.0445792418556373
PER1	12	2.91921823889989	0.00530924959898955	0.0316737054133059	0.000508386592424605	0.0252512865423287
PER2	8	2.2913422011202	0.0395885672571737	0.120579519091326	0.207151203209427	0.0500988063519986
PER3	9	1.8699508071394	0.0854538282008013	0.209080563361255	0.0213544241125795	0.0949366433234255
PHLPP1	10	2.94923631771733	0.00662529537628669	0.0632646408410711	0.0186408787539696	0.0252512865423287
PML	3	8.17182195445127	0.000820229793131565	0.0125548615548525	0.412288523366031	0.021421189710993
PPARA	8	3.05699008889325	0.00839350675305775	0.0663458664752424	0.08057450029228	0.0255376907593034
PPARG	11	1.64746099503414	0.117031305308148	0.217445008652803	0.179433539426568	0.125830651571919
PPARGC1A	8	2.15081767462151	0.0516145933037037	0.0862515914170081	0.212101560751482	0.0620242591800809
PPP1CA	12	1.51973891605491	0.152779881287844	0.414584666130212	0.0277802668229963	0.161833503882679
PPP1CB	12	2.34543326978429	0.0186131556576086	0.0899978519195417	0.00513396010667605	0.0338814578823549
PPP1CC	2	6.40359470845999	0.0140767751994667	0.088347759631732	0.198608681725998	0.030763212444285
PRKAA1	9	1.04752280768285	0.411837319849501	0.338605997915493	0.0979105799946612	0.417678983960842
PRKAA2	7	3.64753129731418	0.00369704031553859	0.0463991927077171	0.121568183232281	0.0252512865423287
PRKCG	11	1.7994460282029	0.0856421467742789	0.226384208316642	0.0257391900168006	0.0949366433234255
SERPINE1	3	3.03521039431731	0.0561854508779385	0.103628275188248	0.365490317424823	0.0664009874012
SFPQ	12	2.22258488300195	0.0265936567742937	0.115038283327657	0.0335204826604034	0.0401109783933671
SIAH2	10	1.00861885212417	0.444329205638509	0.403966652241062	0.033351106115545	0.447458284551457
SIK1	8	2.26424535659406	0.0420905356546339	0.121105735865596	0.171104160389624	0.0527977771808126
SIN3A	12	2.11347648946054	0.0340564795053273	0.163688245857683	0.0131255180468874	0.0442734233569255
SIRT1	7	1.62158812522537	0.159022787606336	0.318856063601971	0.0750758508648257	0.16720778402725
SLC6A4	6	2.98199953362206	0.0179332876632278	0.04023118900218	0.307489327915876	0.0338814578823549
SOX14	11	3.27085563606746	0.00262777958428101	0.0525610860143504	0.00467335273975932	0.0252512865423287
SPSB4	10	1.41525881962677	0.21614824791486	0.140101999922698	0.00352358310722444	0.225614594538868
SREBF1	11	3.72649109163169	0.000847479297612409	0.0169394071155815	0.000425036460236982	0.021421189710993
SUV39H2	9	3.81037444908664	0.00134422868902439	0.022455026604856	0.00308147306502791	0.021421189710993
TH	12	2.74083760337228	0.00781509468047869	0.0756340074346348	0.00106079070755444	0.0252512865423287
THRAP3	10	2.5801051359152	0.014435141015075	0.117488101281474	0.019801600232073	0.030763212444285
TIMELESS	10	2.57271587317504	0.0152740425422674	0.10027992416408	0.0535964778578742	0.030763212444285
TNFRSF11A	9	2.8100113248209	0.0109914979131167	0.0775874900074599	0.00970454646746745	0.0289556957210856
TOP1	11	2.27860551776126	0.02550898966007	0.145330049775864	0.0228878095748324	0.0400926905505841
TOP2A	8	2.36571604570747	0.0335892510453853	0.096064990531222	0.103132635273891	0.0442734233569255
TP53	11	1.84332890306334	0.0768088553421134	0.212769050639397	0.0180097358176229	0.0878693305113777
TPH1	9	2.0524353694092	0.0557382375598977	0.126365618493458	0.0757197570444939	0.0664009874012
TYMS	12	2.21068405867361	0.0274171357408971	0.152711677860203	0.00863209667120001	0.0404190764015288
UBE3A	12	2.8240702706337	0.005407525162434	0.0253365557065978	0.00349288002456496	0.0252512865423287
USP2	12	2.69047763615318	0.00885882827323549	0.0246002390903196	0.000639572147054002	0.0263919258973474
USP7	6	2.01559991675881	0.0887361420605774	0.0926611252402435	0.375685318439964	0.0976097562666351
