Gene	Cluster	purity_score	P.fisher	Estimate.fisher	P.cochran	Estimate.cochran	P.merge.cochran	E.merge.cochran	DiffChange	FDR
ATOH7	5	0.82258064516129	0.547058823529412	3.37514897161919	0.262369003244289	-1.12080939726351	0.189637690097409	-1.31165167156791	0.51008064516129	
BHLHE40	2	0.3125	1	1.60645263793183	0.432767580667785	0.784464540552736				
BHLHE41	3	0.833333333333333	0.542682926829268	3.71347252418166	0.138557169612848	1.48118542269706	0.168365604697798	-1.37747446344239	0.509009009009009	
BTBD9	4	0.829268292682927	0.54532279314888	3.62187542128682	0.806156361620351	-0.245387558289824	0.174494245463354	-1.35790369283848	0.507839721254356	
BTRC	3	0.833333333333333	0.543340380549683	3.73265802183446	0.96173813591397	0.0479725292006612	0.167546277488617	-1.38013111868471	0.508333333333333	
CARTPT	7	0.878787878787879	0.0052475453630781	16.0311733573192	0.128846243257188	1.51866737260492	0.000876287612660015	-3.32750072460715	0.021645021645022	
CAVIN3	3	0.828125	0.544144144144144	3.53337371888486	0.930735748281119	-0.0869191869206385	0.179146830458524	-1.34338657876279	0.509943181818182	
CCAR2	3	0.819444444444445	0.286160993478067	4.94376153721104	0.715336274123863	-0.364698773668696	0.0719907234024284	-1.79917676647878	0.516812865497077	
CDK1	6	0.8375	0.135429114195545	5.75889713570704	0.826904861431883	-0.218672899125944	0.0518686606519384	-1.94422220952236	0.00823170731707301	
CHRNB2	3	0.81578947368421	0.552305323717689	3.23828116590434	0.146100465963422	1.45344418537486	0.20003686222311	-1.28144655103438	0.508097165991902	
CIART	3	0.806451612903226	0.558823529411765	2.98067926324475	0.837541800818014	0.205038812957172	0.219339874247017	-1.22828533473439	0.509576612903226	
CIPC	3	0.81578947368421	0.552305323717689	3.23828116590434	0.146100465963422	1.45344418537486	0.20003686222311	-1.28144655103438	0.508097165991902	
CLDN4	6	0.814285714285714	0.553036437246964	3.1865623384432	0.30239001339751	1.03132164053713	0.203604762151721	-1.27134831207354	0.508730158730158	
CLOCK	4	0.829268292682927	0.54532279314888	3.62187542128682	0.806156361620351	-0.245387558289824	0.174494245463354	-1.35790369283848	0.507839721254356	
CPT1A	5	0.825	0.547145877378435	3.49395296480631	0.24865927404074	1.15361200572831	0.182559173856361	-1.33291660154215	0.507926829268293	
CREB1	2	0.321428571428571	1	1.72771677326897	0.450614509909471	0.754390940465824				
CREM	5	0.829268292682927	0.54532279314888	3.62187542128682	0.344470570582383	0.945368906609712	0.174494245463354	-1.35790369283848	0.507839721254356	
CRH	3	0.796875	0.567567567567568	2.77680348892584	0.152507196120775	1.4307314497148	0.236798331618724	-1.18302729107513	0.508996212121212	
CRTC1	6	0.828947368421053	0.54493152904951	3.59629617190617	0.492843875825991	0.685792643699227	0.175808169972799	-1.35377500601736	0.508434547908232	
CRY1	5	0.825	0.547145877378435	3.49395296480631	0.133954866480275	-1.49868693955691	0.182559173856361	-1.33291660154215	0.507926829268293	
CRY2	3	0.82051282051282	0.549456357595893	3.36611792844155	0.905941486801482	0.118159238253481	0.191063014045694	-1.30744090092123	0.50801282051282	
CSNK1D	6	0.825	0.547145877378435	3.49395296480631	0.31652150822798	1.00163169297523	0.182559173856361	-1.33291660154215	0.507926829268293	
CSNK1E	6	0.833333333333333	0.143763213530655	5.55512489948735	0.253900224774901	1.14092718683704	0.0562565695427989	-1.90904280843685	0.189752252252252	
DBP	5	0.833333333333333	0.541963015647226	3.69131363726842	0.308907149604583	1.01751784062724	0.169327297212063	-1.37436854187255	0.509803921568627	
DRD2	5	0.833333333333333	0.143763213530655	5.55512489948735	0.0720406081626205	-1.79886139800234	0.0562565695427989	-1.90904280843685	0.00833333333333308	
DRD3	4	0.833333333333333	0.543340380549683	3.73265802183446	0.365158107845975	-0.905580171459777	0.167546277488617	-1.38013111868471	0.508333333333333	
DRD4	5	0.806451612903226	0.558823529411765	2.98067926324475	0.815209725306921	-0.233710513334211	0.219339874247017	-1.22828533473439	0.509576612903226	
DYRK1A	5	0.82051282051282	0.549456357595893	3.36611792844155	0.735921169435243	0.337259656391606	0.191063014045694	-1.30744090092123	0.50801282051282	
EGR1	3	0.833333333333333	0.146341463414634	5.52365116665714	0.203365325045695	-1.27202193712058	0.0571215639940019	-1.90237946242268	0.517543859649122	
EGR3	2	0.315789473684211	1	1.64563381244366	0.438921967170459	-0.774014921754803				
EP300	5	0.825	0.547145877378435	3.49395296480631	0.481908456596267	0.703236370839119	0.182559173856361	-1.33291660154215	0.252631578947368	
EZH2	6	0.82051282051282	0.549456357595893	3.36611792844155	0.359225104325723	-0.916842641284627	0.191063014045694	-1.30744090092123	0.50801282051282	
F7	4	0.810810810810811	0.555749128919861	3.11044247374464	0.909049038455856	-0.114238114762466	0.209514953376827	-1.25490030471539	0.508179231863443	
FBXL3	7	0.842857142857143	0.0607616602481815	7.90489322304825	0.221899452113916	-1.22149290026338	0.0181286583847337	-2.36297978607261	0.0904761904761909	
FBXW11	5	0.825	0.547145877378435	3.49395296480631	0.92219297378184	-0.0976717181721009	0.182559173856361	-1.33291660154215	0.252631578947368	
FBXW7	5	0.829268292682927	0.54532279314888	3.62187542128682	0.524161622637465	0.636943536976459	0.174494245463354	-1.35790369283848	0.507839721254356	
GFPT1	6	0.833333333333333	0.143763213530655	5.55512489948735	0.818660137394287	-0.229268625337402	0.0562565695427989	-1.90904280843685	0.131410256410256	
GHRH	4	0.837837837837838	0.286585365853659	3.86067793989086	0.809770372963813	-0.240722275820593	0.15991264281743	-1.40536542402749	0.508890469416785	
GHRL	3	0.823529411764706	0.546996389101652	3.42051031265955	0.807957820190999	0.243061416482133	0.186875309502721	-1.31987933083438	0.323529411764706	
GNA11	6	0.819444444444445	0.549718574108818	3.32314258007417	0.465294917806264	0.730155863336586	0.193799867707068	-1.29941989498855	0.508633633633634	
GNAQ	5	0.8	0.564553093964859	2.83406063221852	0.309044992175987	1.01722797211478	0.231638940647706	-1.19614766261078	0.509677419354839	
GSK3B	2	0.321428571428571	1	1.72771677326897	0.450614509909471	0.754390940465824				
HCRTR2	5	0.8375	0.284707540521494	3.86975944299993	0.760757513562653	0.304486188447981	0.159729434998819	-1.40598211734208	0.251973684210526	
HDAC1	13	0.933333333333333	1.48555172797906e-05	46.818828611257	0.02756942577778	2.20335942281644	1.31578537379868e-06	-4.83735464897913	0.050980392156862	
HDAC2	5	0.833333333333333	0.143763213530655	5.55512489948735	0.959477416877398	-0.0508093793683557	0.0562565695427989	-1.90904280843685	0.00833333333333308	
HDAC3	3	0.8	0.564676113360324	2.85475805004606	0.459025699493804	-0.740452126604808	0.230139340443417	-1.2	0.3	
HEBP1	3	0.814285714285714	0.553036437246964	3.1865623384432	0.0644240444420011	-1.8492339084706	0.203604762151721	-1.27134831207354	0.508730158730158	
HNRNPD	3	0.825	0.547145877378435	3.49395296480631	0.926190745460071	0.0926385141082271	0.182559173856361	-1.33291660154215	0.507926829268293	
HNRNPU	5	0.828947368421053	0.282060537307276	5.35134462293823	0.737249772065972	0.335497577164843	0.0610446895059892	-1.87317162316339	0.00843454790823295	
HTR7	6	0.851351351351351	0.0509462177074202	8.53177565190667	0.905214229038154	0.119077155735594	0.0141192955090794	-2.45421393182543	0.0180180180180179	
ID2	2	0.321428571428571	1	1.72771677326897	0.450614509909471	0.754390940465824				
ID3	5	0.837837837837838	0.286585365853659	3.86067793989086	0.153235640910535	1.42819534220074	0.15991264281743	-1.40536542402749	0.508890469416785	
ID4	4	0.796875	0.567567567567568	2.77680348892584	0.122934934006654	1.5425708551102	0.236798331618724	-1.18302729107513	0.508996212121212	
KCNA2	4	0.824324324324324	0.547038327526133	3.45972045026464	0.603712526852525	0.519069140971841	0.184547480349112	-1.32688272300824	0.508534850640113	
KCNH7	5	0.829268292682927	0.54532279314888	3.62187542128682	0.524161622637465	0.636943536976459	0.174494245463354	-1.35790369283848	0.507839721254356	
KDM5A	10	0.864864864864865	0.0070687391311821	14.3169465785866	0.880278624203056	-0.150616019019177	0.001392111611856	-3.1962816234206	0.087087087087087	
KLF10	3	0.824324324324324	0.547038327526133	3.45972045026464	0.865185415263037	-0.169777127646986	0.184547480349112	-1.32688272300824	0.508534850640113	
KLF9	5	0.833333333333333	0.543340380549683	3.73265802183446	0.147172679087357	1.44959074252891	0.167546277488617	-1.38013111868471	0.508333333333333	
KMT2A	3	0.82051282051282	0.549456357595893	3.36611792844155	0.144127034816015	1.46059348668044	0.191063014045694	-1.30744090092123	0.50801282051282	
LEP	3	0.8125	0.290659080132764	4.64892941450893	1	0	0.0814506939390916	-1.74233013109292	0.00946969696969702	
LGR4	7	0.829268292682927	0.54532279314888	3.62187542128682	0.233130428489019	1.19233369251978	0.174494245463354	-1.35790369283848	0.507839721254356	
MAGEL2	5	0.851851851851852	0.266129032258064	4.22132619922911	0.613025518802962	0.505759463322242	0.138972424159523	-1.4796284707732	0.259259259259259	
MAPK10	5	0.829268292682927	0.54532279314888	3.62187542128682	0.693138155767778	-0.394599942778009	0.174494245463354	-1.35790369283848	0.507839721254356	
MAPK8	2	0.321428571428571	1	1.72771677326897	0.450614509909471	0.754390940465824				
MAPK9	6	0.82051282051282	0.549456357595893	3.36611792844155	0.972469685059546	0.034510982171293	0.191063014045694	-1.30744090092123	0.252945252945252	
MC3R	4	0.833333333333333	0.541963015647226	3.69131363726842	1	0	0.169327297212063	-1.37436854187255	0.255208333333333	
METTL3	7	0.847222222222222	0.121951219512195	6.19500231480745	0.560040733761595	0.582781004866923	0.043914944671567	-2.0149017494233	0.131944444444444	
MTA1	5	0.833333333333333	0.542682926829268	3.71347252418166	0.353839847708388	0.927166973024498	0.168365604697798	-1.37747446344239	0.509009009009009	
MTNR1A	2	0.81578947368421	0.552305323717689	3.23828116590434	0.200036862223112	1.28144655103437	0.20003686222311	-1.28144655103438		
MTNR1B	5	0.8	0.564553093964859	2.83406063221852	0.538577049767876	0.61496618870015	0.231638940647706	-1.19614766261078	0.509677419354839	
MTTP	5	0.825	0.547145877378435	3.49395296480631	0.593859172177464	0.53325196775842	0.182559173856361	-1.33291660154215	0.507926829268293	
MYBBP1A	5	0.842105263157895	0.128912494198938	5.96095335484432	0.577354551979824	-0.557253045145128	0.0480060401328679	-1.97731495621973	0.00877192982456199	
MYCBP2	2	0.3125	1	1.60645263793183	0.432767580667785	-0.784464540552736				
NAMPT	5	0.828947368421053	0.282060537307276	5.35134462293823	0.910490488950969	-0.112419885463868	0.0610446895059892	-1.87317162316339	0.00843454790823295	
NCOA2	2	0.321428571428571	1	1.72771677326897	0.450614509909475	-0.754390940465817				
NCOR1	3	0.825	0.547145877378435	3.49395296480631	0.926190745460071	-0.0926385141082271	0.182559173856361	-1.33291660154215	0.507926829268293	
NFIL3	9	0.770897832817338	0.00273514615839421	9.59321357891803	0.0225693210659517	2.28064738280399	0.000728236412457416	-3.37872187620071	0.451453388372894	
NGFR	3	0.842105263157895	0.275099262620533	4.00680047833985	0.331366954943745	-0.971364188704098	0.151943361122839	-1.43270079882276	0.508771929824562	
NKX2-1	5	0.819444444444445	0.549718574108818	3.32314258007417	0.742812827303831	0.328130720286221	0.193799867707068	-1.29941989498855	0.508633633633634	
NLGN1	6	0.829268292682927	0.54532279314888	3.62187542128682	0.627465069069195	0.485297865945842	0.174494245463354	-1.35790369283848	0.507839721254356	
NOCT	2	0.321428571428571	1	1.72771677326897	0.450614509909475	-0.754390940465817				
NOS2	5	0.833333333333333	0.143763213530655	5.55512489948735	0.702606936966847	0.381803750076225	0.0562565695427989	-1.90904280843685	0.00833333333333308	
NPAS2	4	0.828947368421053	0.282060537307276	5.35134462293823	0.668632318557155	-0.428025825003854	0.0610446895059892	-1.87317162316339	0.00843454790823295	
NPS	2	0.794117647058824	0.570303096618886	2.72691143916636	0.241374409265105	-1.17155837225801	0.241374409265105	-1.17155837225801		
NPSR1	4	0.81578947368421	0.552305323717689	3.23828116590434	0.806007779616473	0.245579474611613	0.20003686222311	-1.28144655103438	0.508097165991902	
NR1D1	2	0.329268292682927	1	1.83945323451754	0.465984679055462	-0.729027764547737				
NR1D2	2	0.320512820512821	1	1.71018286677274	0.448382737236629	0.75811400336972				
NR1H3	5	0.829268292682927	0.54532279314888	3.62187542128682	0.629917631981697	0.481842786579235	0.174494245463354	-1.35790369283848	0.507839721254356	
NR2F6	7	0.84375	0.131910858226648	5.9572296511205	0.458665653623154	0.741045828494956	0.0484060191761476	-1.9737865470545	0.265625	
NR3C1	5	0.825	0.547145877378435	3.49395296480631	0.133954866480275	1.49868693955691	0.182559173856361	-1.33291660154215	0.507926829268293	
NRIP1	4	0.8125	0.290659080132764	4.64892941450893	0.153098507797099	-1.42867207437673	0.0814506939390916	-1.74233013109292	0.00946969696969702	
NTRK1	5	0.842105263157895	0.128912494198938	5.96095335484432	0.318187867854576	-0.998188693840906	0.0480060401328679	-1.97731495621973	0.00877192982456199	
OGT	5	0.846153846153846	0.121212121212121	6.17958760621004	0.299030468784255	-1.03851475663653	0.0440421521697714	-2.01368941372424	0.00865384615384601	
OPN3	5	0.838235294117647	0.288762446657183	3.85023342262809	0.892837747802248	-0.134714323639697	0.160125635571261	-1.40464914326898	0.509663865546218	
OPN4	6	0.847222222222222	0.121951219512195	6.19500231480745	0.826292102796568	-0.2194595287304	0.043914944671567	-2.0149017494233	0.171031746031746	
OPN5	2	0.317073170731707	1	1.66708490685273	0.44189904099461	0.768990347043547				
PARP1	5	0.829268292682927	0.54532279314888	3.62187542128682	0.697247289165675	0.38903901006371	0.174494245463354	-1.35790369283848	0.507839721254356	
PAX4	4	0.84375	0.0621147463252726	7.89935683625326	0.178020970487919	1.34687352214546	0.0184502560649747	-2.35645594386668	0.020220588235294	
PER1	4	0.828571428571429	0.544534412955466	3.56711417196063	0.923332010377404	0.0962374218724949	0.177339440018511	-1.34899229789507	0.509126984126985	
PER2	5	0.82051282051282	0.549456357595893	3.36611792844155	0.622460655893454	-0.492365963917332	0.191063014045694	-1.30744090092123	0.252945252945252	
PER3	5	0.824324324324324	0.547038327526133	3.45972045026464	0.719090528379195	0.359674547127285	0.184547480349112	-1.32688272300824	0.254879879879879	
PHLPP1	6	0.838235294117647	0.0318495645838393	9.45695564315938	0.598823203343728	0.526093559451333	0.00883984068858444	-2.61818676965268	0.018790849673202	
PML	2	0.818181818181818	0.550142247510669	3.27390347984735	0.197018946471816	1.29009133953207	0.197018946471816	-1.29009133953208		
PPARA	5	0.82051282051282	0.549456357595893	3.36611792844155	0.667724272274851	0.429273400070835	0.191063014045694	-1.30744090092123	0.50801282051282	
PPARG	5	0.825	0.547145877378435	3.49395296480631	0.783878359078655	0.274268410130645	0.182559173856361	-1.33291660154215	0.25448717948718	
PPARGC1A	5	0.829268292682927	0.54532279314888	3.62187542128682	0.629917631981697	0.481842786579235	0.174494245463354	-1.35790369283848	0.25234521575985	
PPP1CA	4	0.8375	0.284707540521494	3.86975944299993	0.144073405086941	1.46078881937571	0.159729434998819	-1.40598211734208	0.508231707317073	
PPP1CB	2	0.321428571428571	1	1.72771677326897	0.450614509909471	0.754390940465824				
PPP1CC	3	0.819444444444445	0.549718574108818	3.32314258007417	0.570299834750688	-0.567609971538357	0.193799867707068	-1.29941989498855	0.508633633633634	
PRKAA1	5	0.829268292682927	0.54532279314888	3.62187542128682	0.66570552422158	-0.432049379893858	0.174494245463354	-1.35790369283848	0.507839721254356	
PRKAA2	7	0.846153846153846	0.0548661539561439	8.20053086839497	0.832656817896579	0.211295341393182	0.0158865788343228	-2.4115108574055	0.00865384615384601	
PRKCG	5	0.837837837837838	0.286585365853659	3.86067793989086	0.505050610171773	-0.666564094673342	0.15991264281743	-1.40536542402749	0.508890469416785	
PRKDC	4	0.828947368421053	0.54493152904951	3.59629617190617	0.9008944431233	-0.124531522705199	0.175808169972799	-1.35377500601736	0.508434547908232	
PRMT5	6	0.828947368421053	0.54493152904951	3.59629617190617	0.31761386965894	-0.999373339948357	0.175808169972799	-1.35377500601736	0.508434547908232	
PROK2	2	0.828571428571429	0.544534412955466	3.56711417196063	0.177339440018511	-1.34899229789507	0.177339440018511	-1.34899229789507		
PROKR2	4	0.81578947368421	0.552305323717689	3.23828116590434	0.78994310586601	-0.266384494086943	0.20003686222311	-1.28144655103438	0.508097165991902	
PROX1	5	0.825	0.547145877378435	3.49395296480631	0.5114861105344	-0.656525430600857	0.182559173856361	-1.33291660154215	0.507926829268293	
PSPC1	3	0.82051282051282	0.549456357595893	3.36611792844155	0.905941486801482	0.118159238253481	0.191063014045694	-1.30744090092123	0.50801282051282	
PTGDS	3	0.685344827586207	0.3706942236354	3.0666846825295	0.726416138653109	-0.349896813326812	0.159656555759876	-1.40622758386766	0.397466039707419	
RAI1	5	0.847222222222222	0.264634146341463	4.16675139382295	0.879563807060386	-0.151522190978661	0.143389343864945	-1.46328524345177	0.509384384384384	
RBM4	5	0.760416666666667	0.165057736108904	4.27168124436997	0.986842560713478	0.0164911521219052	0.0781951142922817	-1.76125581867698	0.09375	
RBM4B	12	0.862222222222222	0.000958239635889727	15.1574365194815	0.90402084475603	-0.120583618423731	0.000152683244256043	-3.78666415157529	0.051805555555555	
RELB	6	0.824324324324324	0.547038327526133	3.45972045026464	0.959821494438677	0.0503775898206176	0.184547480349112	-1.32688272300824	0.508534850640113	
RORA	6	0.829268292682927	0.54532279314888	3.62187542128682	0.502879216845095	-0.669966388583832	0.174494245463354	-1.35790369283848	0.25234521575985	
RORB	7	0.8375	0.135429114195545	5.75889713570704	0.766436438432815	-0.297039387680455	0.0518686606519384	-1.94422220952236	0.170833333333333	
RORC	4	0.833333333333333	0.542682926829268	3.71347252418166	0.262913198821658	-1.11953211317707	0.168365604697798	-1.37747446344239	0.509009009009009	
SERPINE1	3	0.814285714285714	0.553036437246964	3.1865623384432	0.875350380725418	0.156866095684803	0.203604762151721	-1.27134831207354	0.508730158730158	
SETX	2	0.317073170731707	1	1.66708490685273	0.441899040994615	-0.768990347043537				
SFPQ	2	0.320512820512821	1	1.71018286677274	0.448382737236629	0.75811400336972				
SIAH2	7	0.825	0.547145877378435	3.49395296480631	0.694800371598715	-0.392348988704863	0.182559173856361	-1.33291660154215	0.25625	
SIK1	6	0.82051282051282	0.549456357595893	3.36611792844155	0.534660500581559	-0.620907478116929	0.191063014045694	-1.30744090092123	0.50801282051282	
SIN3A	5	0.829268292682927	0.54532279314888	3.62187542128682	0.96777875317579	-0.0403943267266786	0.174494245463354	-1.35790369283848	0.25234521575985	
SIRT1	5	0.828947368421053	0.54493152904951	3.59629617190617	0.516390495542569	0.648919367498727	0.175808169972799	-1.35377500601736	0.508434547908232	
SLC6A4	4	0.825	0.547145877378435	3.49395296480631	0.18981801536543	-1.31111765947784	0.182559173856361	-1.33291660154215	0.507926829268293	
SOX14	5	0.833333333333333	0.542682926829268	3.71347252418166	0.649422940301207	0.454563998153455	0.168365604697798	-1.37747446344239	0.509009009009009	
SPSB4	3	0.833333333333333	0.541176470588235	3.66543002457035	0.139443377109982	1.47786701333067	0.170471977185627	-1.37068883368468	0.510752688172043	
SREBF1	3	0.837837837837838	0.286585365853659	3.86067793989086	0.136097381114394	1.4904826270502	0.15991264281743	-1.40536542402749	0.508890469416785	
SUV39H2	2	0.328947368421053	1	1.82841777484103	0.464907420039085	-0.730790020494302				
TH	3	0.824324324324324	0.547038327526133	3.45972045026464	0.395387257759769	0.849888179963997	0.184547480349112	-1.32688272300824	0.508534850640113	
THRAP3	5	0.833333333333333	0.143763213530655	5.55512489948735	0.0720406081626205	1.79886139800234	0.0562565695427989	-1.90904280843685	0.00833333333333308	
TIMELESS	6	0.824324324324324	0.283688517948302	5.14755673635287	0.954538208055359	-0.0570087712549554	0.0662740588016421	-1.83656553734763	0.00853485064011406	
TNFRSF11A	9	0.852941176470588	0.0105890886557812	12.7924712809679	0.396045056243724	0.848705731357882	0.00245146308915204	-3.02926898578441	0.0196078431372549	
TOP1	4	0.825	0.547145877378435	3.49395296480631	0.278446691269325	1.08381531977681	0.182559173856361	-1.33291660154215	0.507926829268293	
TOP2A	3	0.825	0.547145877378435	3.49395296480631	0.39149669535376	0.856906255501091	0.182559173856361	-1.33291660154215	0.507926829268293	
TP53	5	0.837837837837838	0.286585365853659	3.86067793989086	0.566937110473891	0.57256817893298	0.15991264281743	-1.40536542402749	0.508890469416785	
TPH1	5	0.825	0.547145877378435	3.49395296480631	0.200407409155972	1.28039170685103	0.182559173856361	-1.33291660154215	0.507926829268293	
TYMS	4	0.833333333333333	0.543340380549683	3.73265802183446	0.524003588981735	0.637186163952831	0.167546277488617	-1.38013111868471	0.508333333333333	
UBE3A	4	0.829268292682927	0.54532279314888	3.62187542128682	0.269487302338417	1.1042440123042	0.174494245463354	-1.35790369283848	0.507839721254356	
USP2	4	0.837837837837838	0.286585365853659	3.86067793989086	0.68144229676866	0.410495782353873	0.15991264281743	-1.40536542402749	0.508890469416785	
USP7	5	0.829268292682927	0.54532279314888	3.62187542128682	0.145892039602077	1.45419576216042	0.174494245463354	-1.35790369283848	0.25234521575985	
USP9X	4	0.81578947368421	0.552305323717689	3.23828116590434	0.615256783175228	0.502583996537027	0.20003686222311	-1.28144655103438	0.25328947368421	
