Gene	Cluster	purity_score	p_value	Estimate.fisher	P.cochran	Estimate.cochran	DiffChange	FDR
CIPC	14	0.871428571428572	8.35254646308529e-06	37.4327134457517	0.678131262557017	-0.415014535306305	0.0103174603174609	0.00136981761994599
CLDN4	2	0.7875	0.171023098050183	5.1589949353027	0.05412791284496	1.92581151725708		1
CLOCK	9	0.811111111111111	0.0175394958968766	10.8328767038454	0.139365200465186	-1.47815909211742	0.092818428184282	1
CPT1A	6	0.797872340425532	0.305267651327585	4.2340916513783	0.114396796088946	-1.57873524907948	0.512158054711246	1
CREB1	11	0.825581395348837	0.00323444079790456	15.5537876374166	0.0811645011663823	-1.74396896775146	0.027709054923305	0.530448290856348
CREM	6	0.699404761904762	0.0860686058693001	4.27052169548586	0.113081909651217	-1.58449152101821	0.0150193798449609	1
CRH	10	0.842857142857143	0.00256980677150023	17.6167566637748	0.334728472406902	0.964633383406468	0.0351648351648349	0.421448310526038
CRTC1	4	0.797872340425532	0.566968325791855	2.84083901837466	0.126314527118152	-1.52879800498308	0.506205673758865	1
CRY1	14	0.829268292682927	0.00139829441196716	17.7309931819309	0.605825157597057	-0.516041882378602	0.033875338753388	0.229320283562614
CRY2	11	0.8375	0.000543315137687987	20.8079977704272	0.00225222817963606	-3.05478379560946	0.0160714285714291	0.0891036825808299
CSNK1D	3	0.785714285714286	0.579100145137881	2.58983288121829	0.154299700676207	-1.42450720574547	0.505714285714286	1
CSNK1E	14	0.85	0.000226200926396048	23.1101984397873	0.0532641834402938	-1.93277287334264	0.008536585365853	0.0370969519289519
DBP	7	0.824324324324324	0.032565911650476	10.1918779210068	0.0110361087399519	-2.54155339721323	0.031641397495056	1
DRD2	11	0.784226190476191	0.0163455753792732	6.74701396991179	0.194343919581386	1.29783534974726	0.0586827122153211	1
DRD3	7	0.80952380952381	0.00885320314087405	12.1639849488416	0.357073642249462	-0.920955535115992	0.140293040293041	1
DRD4	9	0.848484848484848	0.00578833602686485	14.3032219146481	0.040469715144992	2.04892228179601	0.037674037674037	0.949287108405835
DYRK1A	10	0.825581395348837	0.0154548099077818	12.1235856334848	0.521413794425911	0.641167605050602	0.027709054923305	1
EGR1	6	0.804878048780488	0.0193170033971035	10.263802092995	0.667102664999357	0.430127818628199	0.02710027100271	1
EGR3	7	0.777777777777778	0.182923169267707	4.81446535919666	0.442880647966354	-0.767337886903578	0.216588966588967	1
EP300	7	0.791666666666667	0.312255139114185	4.03900743099942	0.379191324172248	-0.879387284443911	0.171099290780142	1
EZH2	14	0.829268292682927	0.00307239222156453	15.9707856459239	0.225131166560157	-1.21299647934869	0.140165728580363	0.503872324336583
F7	13	0.896584440227704	4.38003841293689e-07	35.1260886343158	0.970880189555472	-0.0365043759218671	0.029917773561037	7.1832629972165e-05
FBXL3	11	0.817073170731707	0.00783011731697588	12.8885952698234	0.772427468031879	-0.28920112886989	0.042073170731707	1
FBXW11	3	0.775510204081633	0.59079180777294	2.39570272168749	0.155968740028179	1.41876088459791	0.505510204081633	1
FBXW7	10	0.825581395348837	0.00323444079790456	15.5537876374166	0.0617846980596925	-1.86783769108043	0.027709054923305	0.530448290856348
GFPT1	11	0.813953488372093	0.0081655087381585	12.6123678977952	0.0894849603028584	-1.69812082263383	0.217362579281184	1
GHRH	7	0.804878048780488	0.0193170033971035	10.263802092995	0.380688887469325	0.876627702156599	0.232991601894041	1
GHRL	4	0.773809523809524	0.33806146572104	3.51038622928667	0.11375248999376	1.58154932607673	0.117399267399268	1
GNA11	11	0.858974358974359	0.000717704084526362	20.4213432970702	0.30874672617346	-1.01785530201438	0.033392963625522	0.117703469862323
GNAQ	6	0.794871794871795	0.569616430081547	2.7575215605891	0.0841096164363481	-1.72732330262259	0.507371794871795	1
GSK3B	8	0.811111111111111	0.0175394958968766	10.8328767038454	0.00571028747530782	-2.76396951040227	0.228039010797631	1
HCRTR2	4	0.78125	0.584051908136259	2.50153334550313	0.11676091560215	-1.56851532806609	0.505739795918367	1
HDAC1	2	0.755555555555556	1	2.0574014066516	0.31199247114545	-1.01105005920687		1
HDAC2	9	0.80952380952381	0.00885320314087405	12.1639849488416	0.259221004262899	-1.12823424677042	0.090079365079365	1
HDAC3	9	0.833333333333333	0.00639138844504246	14.538497763303	0.27973101700555	-1.08092378600237	0.00900900900900903	1
HEBP1	11	0.838235294117647	0.000286752727587379	22.5000744658194	0.777985645245693	-0.281945050035338	0.0356037151702789	0.0470274473243302
HNRNPD	4	0.775510204081633	0.59079180777294	2.39570272168749	0.332529539871026	-0.969031365660381	0.505510204081633	1
HNRNPU	11	0.825	0.00154094826461173	17.1003861426813	0.000673367187721329	-3.4001994410804	0.029545454545455	0.252715515396324
HTR7	8	0.793478260869565	0.163576490102572	5.43169152551666	0.708513691176854	0.373852992417242	0.0865338164251209	1
ID2	8	0.797872340425532	0.081573008321066	7.01297509691556	0.346491705730886	-0.941416022749358	0.104394079555967	1
ID3	6	0.787234042553192	0.317845129343465	3.90093655735415	0.552138292588616	-0.59455900077149	0.093636481577582	1
ID4	7	0.794871794871795	0.30870163428303	4.10542973572568	0.492655561572605	0.686091260653702	0.099796037296037	1
KCNA2	8	0.807459677419355	0.000145989742336119	15.0620034839851	0.723793829965927	-0.353393003934416	0.213368768328446	0.0239423177431235
KCNH7	8	0.811111111111111	0.0175394958968766	10.8328767038454	0.0331953628228301	-2.1297124218386	0.228039010797631	1
KDM5A	8	0.791666666666667	0.165327827924942	5.36558129186772	0.902807159267054	-0.122115988989162	0.208594566353187	1
KLF10	2	0.672764227642277	0.255283389951725	3.07665730733446	0.113140788499632	1.58423263836975		1
KLF9	8	0.804347826086957	0.298901098901099	4.4489949561672	0.241566586968973	-1.17108008753824	0.51268115942029	1
KMT2A	11	0.829268292682927	0.00139829441196716	17.7309931819309	0.273416376681037	-1.09522887911787	0.029268292682927	0.229320283562614
LEP	2	0.761904761904762	0.608510638297872	2.15523094616526	0.300367386236166	1.03564586528245		1
LGR4	13	0.810365853658537	0.00296561991698684	9.55898027571403	0.791388571923722	-0.264507908154147	0.046476964769648	0.486361666385842
MAGEL2	8	0.851851851851852	0.00508399277499446	16.4108199620681	0.961728702944893	-0.0479843652892567	0.012566137566138	0.833774815099092
MAPK10	8	0.797872340425532	0.081573008321066	7.01297509691556	0.529181670119393	0.629255697565986	0.079579657498703	1
MAPK8	13	0.833333333333333	0.00131335408922959	18.3616063038916	0.122554796745713	-1.54413844622851	0.0289855072463761	0.215390070633653
MAPK9	14	0.908333333333333	3.01093445314579e-08	47.7568695616447	0.0076205019413223	2.66843721687853	0.057230392156862	4.9379325031591e-06
MC3R	2	0.75609756097561	1	2.06281208121601	0.311479889706999	-1.01212165469495		1
