Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
ERR3294339	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294356	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294357	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294358	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294359	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294360	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294361	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294362	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294363	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294460	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294461	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294462	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294463	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294464	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294467	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294476	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294477	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294478	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294479	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294480	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294481	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294482	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294483	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294484	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294485	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294486	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294487	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294488	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294489	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294490	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294491	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294508	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294509	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294510	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294511	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294512	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294513	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294514	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
ERR3294515	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
SRR18059454	PRJNA807711	blood	female	Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR18059455	PRJNA807711	blood	female	Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR18059456	PRJNA807711	blood	female	Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20988133	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20988134	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20988135	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20988137	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20988138	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
