	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type	Sleep_Times	Sleep_Timing
457	SRR7970337	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
458	SRR7970338	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
459	SRR7970339	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
460	SRR7970340	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
463	SRR7970343	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
464	SRR24772313	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
465	SRR24772314	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
466	SRR24772315	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
467	SRR24772319	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
468	SRR24772330	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
469	SRR24772341	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
470	SRR24772352	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
471	SRR24772363	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
472	SRR24772369	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
473	SRR24772370	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
474	SRR24772371	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
475	SRR24772372	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
476	SRR24772373	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
477	SRR24772374	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
478	SRR24772375	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio	More than two	Sleep at night
479	SRR13449229	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
480	SRR13449230	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
481	SRR13449233	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
482	SRR13449234	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
483	SRR13449237	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
484	SRR13449238	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
485	SRR13449243	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
486	SRR13449244	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
487	SRR13449263	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
488	SRR13449264	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
489	SRR13449265	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
490	SRR13449266	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
491	SRR13449269	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
492	SRR13449270	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
493	SRR13449273	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
494	SRR13449274	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
495	SRR13449275	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
496	SRR13449276	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
497	SRR13449277	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
498	SRR13449278	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
499	SRR13449283	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
500	SRR13449284	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
501	SRR13449291	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
502	SRR13449292	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
503	SRR13449293	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
504	SRR13449294	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
505	SRR13449297	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
506	SRR13449298	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
507	SRR13449309	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
508	SRR13449310	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
509	SRR13449315	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
510	SRR13449316	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
511	SRR13449321	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
512	SRR13449322	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
513	SRR13449325	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
514	SRR13449326	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
515	SRR13449331	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
516	SRR13449332	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
517	SRR13449341	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
518	SRR13449342	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
519	SRR13449355	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
520	SRR13449356	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
521	SRR13449369	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
522	SRR13449370	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
523	SRR13449383	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
524	SRR13449384	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
1100	SRR26499300	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
228	SRR26499301	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
310	SRR26499306	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
4100	SRR26499307	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
525	SRR26499309	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
610	SRR26499310	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
710	SRR26499313	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
810	SRR26499314	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
910	SRR26499319	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
1010	SRR26499320	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
1110	SRR26499321	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
1210	SRR26499322	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
1310	SRR26499323	PRJNA1022793	blood		Human		ILLUMINA	Illumina NovaSeq 6000	cDNA		Once	Sleep at anytime
