	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
289	SRR13899303	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
290	SRR13899304	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
291	SRR13899306	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
292	SRR13899307	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
293	SRR13899308	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
294	SRR13899309	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
329	SRR7970209	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
331	SRR7970211	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
332	SRR7970212	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
333	SRR7970213	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
334	SRR7970214	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
335	SRR7970215	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
336	SRR7970216	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
337	SRR7970217	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
338	SRR7970218	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
339	SRR7970219	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
340	SRR7970220	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
341	SRR7970221	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
